sample,genome,reference,percent_unmapped,percent_mq0,percent_mapped,percent_mq>0_mapped,reads_mapped_mq=0,properly_paired,misoriented,mismatch_rate
D19-0714,Linear,GRCh38,0.0008222,0.0450168,0.9991778,0.9541610,0.0450168,0.9877586,0.0003280,0.0083635
D19-0823,Linear,GRCh38,0.0006356,0.0488279,0.9993644,0.9505365,0.0488279,0.9867670,0.0002930,0.0056995
D19-0824,Linear,GRCh38,0.0006225,0.0432975,0.9993776,0.9560800,0.0432975,0.9890627,0.0002698,0.0058325
D19-0825,Linear,GRCh38,0.0006347,0.0469437,0.9993653,0.9524216,0.0469437,0.9869964,0.0002888,0.0063663
D19-1647,Linear,GRCh38,0.0014622,0.0427845,0.9985379,0.9557533,0.0427845,0.9867927,0.0003337,0.0063465
D19-1648,Linear,GRCh38,0.0015389,0.0451455,0.9984611,0.9533157,0.0451455,0.9855057,0.0003081,0.0064473
D19-1649,Linear,GRCh38,0.0016790,0.0452446,0.9983210,0.9530764,0.0452446,0.9866204,0.0003349,0.0064856
D20-0414,Linear,GRCh38,0.0006007,0.0431177,0.9993993,0.9562816,0.0431177,0.9833160,0.0003244,0.0056288
D20-0418,Linear,GRCh38,0.0006095,0.0447479,0.9993905,0.9546425,0.0447479,0.9843447,0.0003206,0.0057643
D20-0819,Linear,GRCh38,0.0005460,0.0453145,0.9994540,0.9541395,0.0453145,0.9873455,0.0003793,0.0061953
D20-1019,Linear,GRCh38,0.0015759,0.0447824,0.9984241,0.9536418,0.0447824,0.9847572,0.0003463,0.0082063
D20-1040,Linear,GRCh38,0.0015756,0.0491300,0.9984244,0.9492944,0.0491300,0.9833897,0.0003503,0.0079708
D21-0013,Linear,GRCh38,0.0008537,0.0459000,0.9991463,0.9532464,0.0459000,0.9870911,0.0003055,0.0071023
D21-0023,Linear,GRCh38,0.0906345,0.0432421,0.9093655,0.8661233,0.0432421,0.8978067,0.0002772,0.0066962
D21-0024,Linear,GRCh38,0.0433327,0.0415673,0.9566674,0.9151000,0.0415673,0.9462959,0.0002965,0.0066279
D21-0068,Linear,GRCh38,0.0006771,0.0471647,0.9993229,0.9521582,0.0471647,0.9882406,0.0002960,0.0061206
D21-0069,Linear,GRCh38,0.0004736,0.0416766,0.9995264,0.9578498,0.0416766,0.9888254,0.0003242,0.0056007
